Experience,UG,Location,PG,Salary,Department,Role Category
1 - 3 years,Any Graduate,Sujangarh,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 3 years,Any Graduate,Palanpur,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
2 - 5 years,Any Graduate,Gorakhpur,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
4 - 5 years,Any Graduate,Sirohi,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
2 - 4 years,Any Graduate,Bahadurgarh,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
3 - 6 years,Any Graduate,Chandigarh,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
5 - 8 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 2 years,Any Graduate,Giridih,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
1 - 2 years,Any Graduate,Durgapur,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
1 - 2 years,Any Graduate,Faizabad,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
1 - 2 years,Any Graduate,Kovilpatti,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
1 - 3 years,Any Graduate,Junagadh,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Bhilai, Raipur",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,Patiala,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,Dhule,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,Rajsamand,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,Alwar,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,Bundi,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Barshi, Beed",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Thane, Bhiwandi, Dombivli",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,Sangrur,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Ambala, Pehowa, Kurukshetra",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 3 years,Any Graduate,Darbhanga,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
3 - 7 years,Any Graduate,"New Delhi, Padampur",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
2 - 3 years,Any Graduate,Kolkata,"CA in CA, MBA/PGDM in Marketing",Not Disclosed,"BFSI, Investments & Trading",Banking Operations
4 - 6 years,Any Graduate,Nagpur,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
4 - 6 years,Any Graduate,Rohru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 5 years,Any Graduate,"Prayagraj, Bareilly, Agra",,1.75-3.5 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
2 - 5 years,Any Graduate,"Gorakhpur, Haldwani, Meerut",,1.75-3.5 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
1 - 2 years,Any Graduate,Samastipur,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Malegaon, Nashik, Satara",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,Hardoi,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Sangrur, Sunam",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Bhavnagar, Mahuva, Anand",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,Bikaner,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,Rajula,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Gandhidham, kachchh",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 3 years,Any Graduate,"Umarkhed, Yavatmal",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
2 - 3 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
3 - 7 years,Any Graduate,Kanchipuram,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
2 - 3 years,Any Graduate,Jorhat,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 3 years,Any Graduate,Punganur,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 5 years,Any Graduate,Kottayam,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
2 - 5 years,Any Graduate,Kharagpur,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
2 - 5 years,Any Graduate,Khammam,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
3 - 6 years,Any Graduate,Nizamabad,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
4 - 6 years,Any Graduate,Yellandu,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 2 years,,Pune,,2.5-3.5 Lacs P.A.,,
0 - 1 years,Any Graduate,"Salem, Tirunelveli, Tiruchirapalli",Any Postgraduate,2.25-3 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
8 - 13 years,Any Graduate,Anjar,,9-15 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,,Pune,,2-3.25 Lacs P.A.,,
0 - 2 years,Any Graduate,"Madurai, Tirunelveli, Tiruchirapalli",Any Postgraduate,2.25-3.75 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
0 - 1 years,Graduation Not Required,"Kolkata( Sonarpur, Baruipur, Garia, Kamalgazi, Barrackpore, Shyamnagar, Naihati )",,1.25-1.5 Lacs P.A.,"BFSI, Investments & Trading",Lending
3 - 8 years,Any Graduate,"Pune, Bengaluru",,5-13 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
1 - 5 years,Any Graduate,"Mumbai, Hyderabad, Bengaluru",M.Tech in Any Specialization,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 5 years,Any Graduate,"Thane, Navi Mumbai, Mumbai (All Areas)",Any Postgraduate,2.25-7 Lacs P.A.,"BFSI, Investments & Trading",Lending
1 - 6 years,Any Graduate,"Pune, Delhi / NCR, Mumbai (All Areas)",,1.75-3.5 Lacs P.A.,"BFSI, Investments & Trading",Lending
1 - 2 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
2 - 7 years,Any Graduate,"Mumbai, Jamshedpur, Ahmedabad",,2.5-4 Lacs P.A.,"BFSI, Investments & Trading",Lending
2 - 5 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
5 - 10 years,B.Tech/B.E. in Any Specialization,Pune,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 3 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
3 - 8 years,Any Graduate,Pune,,Not Disclosed,"BFSI, Investments & Trading",Lending
8 - 10 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
3 - 4 years,Any Graduate,Pune,"CA in CA, MBA/PGDM in Marketing",Not Disclosed,"BFSI, Investments & Trading",Lending
5 - 10 years,Any Graduate,Hyderabad,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 1 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 5 years,Any Graduate,"Thane, Navi Mumbai, Mumbai (All Areas)( Chembur, Sindhi Society Chembur, Bandra Kurla Complex, Ghodbunder Road, Kalwa, Ghatkopar West, Mulund, Airoli, Sector-19 Koper Khairane, Sector 26 Vashi, Sector 22 Vashi, Sector-10 Sanpada, Balkum, Sector 18 Kharghar, Sector-3 Belapur, Sector-5 Belapur, Govandi, Mankhurd, Sector 5 Ghansoli, Ulhasnagar, Ambernath )",,3-3.5 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
0 - 5 years,Any Graduate,"Thane, Navi Mumbai, Mumbai (All Areas)( Chembur, Sindhi Society Chembur, Bandra Kurla Complex, Ghodbunder Road, Kalwa, Ghatkopar West, Mulund, Airoli, Sector-19 Koper Khairane, Sector 26 Vashi, Sector 22 Vashi, Sector-10 Sanpada, Balkum, Sector 18 Kharghar, Sector-3 Belapur, Sector-5 Belapur, Govandi, Mankhurd, Sector 5 Ghansoli )",,3-3.5 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
0 - 5 years,Any Graduate,"Mumbai Suburban, Thane, Dombivli",,3-4 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,"Kavali, Hyderabad",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 2 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 2 years,Any Graduate,"Warangal, Hyderabad, Nizamabad",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
4 - 7 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
3 - 8 years,Any Graduate,"Chandigarh, Delhi / NCR, Vadodara",,Not Disclosed,"BFSI, Investments & Trading",Lending
5 - 10 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 6 years,Any Graduate,Hyderabad,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
8 - 10 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
5 - 10 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
9 - 13 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
8 - 10 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
10 - 20 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
10 - 20 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
10 - 20 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
8 - 12 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
1 - 4 years,,Kochi,,Not Disclosed,,
0 years,Any Graduate,"Tirunelveli, Tiruchirapalli, Thoothukudi",Any Postgraduate,4-4.5 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
0 - 1 years,Any Graduate,"Tirunelveli, Coimbatore, Thoothukudi",Any Postgraduate,4.75-6.5 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
0 - 3 years,Any Graduate,Bengaluru,,3-3.6 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
0 - 1 years,Any Graduate,"Madurai, Tirunelveli, Tiruchirapalli",Any Postgraduate,2-3 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
0 - 1 years,Any Graduate,"Madurai, Tirunelveli, Tiruchirapalli",Any Postgraduate,2-3 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
0 - 1 years,B.Com in Commerce,Chennai,"M.Com in Commerce, MBA/PGDM in Marketing",Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,"Piduguralla, Kandukur, Yemmiganur",,2-3 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
0 - 1 years,Any Graduate,Bengaluru,,"50,000-2.5 Lacs P.A.","BFSI, Investments & Trading",Lending
4 - 9 years,Any Graduate,"Dausa, Bhiwadi, Alwar",,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 2 years,Any Graduate,"Guwahati, Silchar, Dibrugarh, Tezpur, Nagaon",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
6 - 10 years,B.Tech/B.E. in Any Specialization,Gurugram,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 3 years,Any Graduate,Salem,,1.92-3 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
2 - 6 years,B.Tech/B.E. in Any Specialization,Jaipur,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
9 - 13 years,Any Graduate,Jaipur,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
5 - 10 years,,Gurugram,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
2 - 5 years,Any Graduate,Hyderabad,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
2 - 4 years,"B.Tech/B.E. in Any Specialization, B.B.A/ B.M.S in Any Specialization, B.Com in Any Specialization, BCA in Any Specialization",Chandigarh,"MBA/PGDM in Any Specialization, M.Com in Any Specialization",Not Disclosed,"BFSI, Investments & Trading",Lending
7 - 12 years,B.Tech/B.E. in Any Specialization,Jaipur,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 3 years,"Any Graduate, Other Graduate",Ahmedabad,,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,"Korba, Raigarh, Bhilai, Bilaspur, Raipur",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 2 years,Any Graduate,"Prayagraj, Varanasi, Ghaziabad, Kanpur, Lucknow, Agra",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 2 years,Any Graduate,Hisar,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 2 years,Any Graduate,Dharmavaram,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 2 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 2 years,Any Graduate,"Patan, Bundi",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 2 years,Any Graduate,"Jhalawar, Aklera",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 2 years,Any Graduate,Paithan,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 2 years,Any Graduate,Hanumangarh,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 2 years,Any Graduate,Sheohar,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 2 years,Any Graduate,Alwar,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 2 years,Any Graduate,"Achampet, Nagarkurnool",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 2 years,Any Graduate,"Beawar, Gulabpura",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 2 years,Graduation Not Required,"Golaghat, Jorhat, Sibsagar",,1.75-2.5 Lacs P.A.,"BFSI, Investments & Trading",Lending
1 - 5 years,,Gurugram,"MBA/PGDM in Finance, CA in Any Specialization",Not Disclosed,"BFSI, Investments & Trading",Lending
2 - 5 years,Any Graduate,"Muvattupuzha, Thodupuzha",,3.5-5 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
6 - 11 years,Any Graduate,Kolkata( Maniktala ),,Not Disclosed,"BFSI, Investments & Trading",Lending
2 - 3 years,Any Graduate,Jhansi,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
4 - 5 years,Any Graduate,Patna,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
1 - 4 years,Any Graduate,Coimbatore,,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
5 - 10 years,Any Graduate,Gurugram,,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,Kolkata,,2-5 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
3 - 6 years,B.Com in Any Specialization,"Nagercoil, Kanyakumari","MBA/PGDM in Finance, Operations",Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,,Chennai,,Not Disclosed,,
0 - 1 years,B.Com in Commerce,Chennai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 1 years,"B.B.A/ B.M.S in Management, Any Graduate",Chennai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,,Chennai,,Not Disclosed,,
0 - 3 years,Any Graduate,Jammu,,1-1.25 Lacs P.A.,"BFSI, Investments & Trading",Lending
0 - 2 years,Any Graduate,Dungla,,1.25-1.75 Lacs P.A.,"BFSI, Investments & Trading",Lending
0 - 2 years,Any Graduate,Nathdwara,,1.25-1.75 Lacs P.A.,"BFSI, Investments & Trading",Lending
0 - 1 years,Any Graduate,"Chandigarh( Kharar ), Haryana, Punjab",,2.5 Lacs P.A.,"BFSI, Investments & Trading",Lending
3 - 5 years,Any Graduate,"Siliguri, Bargarh, Patna",,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 1 years,Any Graduate,Jhunjhunun,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,Kothagudem,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
3 - 8 years,,Gurugram,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
2 - 5 years,Any Graduate,"Kotabommali, Surat",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
2 - 5 years,Any Graduate,"Kotabommali, Surat",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
2 - 5 years,Any Graduate,"Kotabommali, Surat",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 years,Any Graduate,"Chennai, Tiruchirapalli, Thoothukudi",Any Postgraduate,3.75-5.5 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
0 years,Any Graduate,"Tirunelveli, Chennai, Tiruchirapalli",Any Postgraduate,3.5-6 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
0 - 1 years,Any Graduate,"Tirunelveli, Chennai, Tiruchirapalli",Any Postgraduate,3.5-4.75 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
2 - 7 years,Any Graduate,Chennai,,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 5 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 4 years,,Gurugram,,Not Disclosed,,
2 - 4 years,,Gurugram,,Not Disclosed,,
3 - 8 years,Any Graduate,"Dindigul, Kumbakonam, Kancheepuram",,5-9 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
5 - 10 years,Any Graduate,"Hapur, Meerut",,5.5-8 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
7 - 12 years,Any Graduate,Gurugram,,8-14 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
12 - 22 years,Any Graduate,"Jalgaon, Nashik, Ahmednagar",,15-20 Lacs P.A.,"BFSI, Investments & Trading",Lending
2 - 4 years,,Gurugram,,Not Disclosed,,
2 - 4 years,,Gurugram,,Not Disclosed,,
2 - 4 years,,Gurugram,,Not Disclosed,,
2 - 7 years,Any Graduate,"Jamshedpur, Ranchi, Raipur",,2.5-4 Lacs P.A.,"BFSI, Investments & Trading",Lending
2 - 7 years,Any Graduate,"Kolkata, Bardhaman, Gangtok",,2.5-4 Lacs P.A.,"BFSI, Investments & Trading",Lending
2 - 7 years,Any Graduate,"Guwahati, Tinsukia, Jorhat",,2.5-4 Lacs P.A.,"BFSI, Investments & Trading",Lending
2 - 6 years,Any Graduate,"Bharuch, Navsari, Junagadh",,2.5-4 Lacs P.A.,"BFSI, Investments & Trading",Lending
2 - 7 years,Any Graduate,"Chandrapur, Nagpur, Amravati",,2.5-4 Lacs P.A.,"BFSI, Investments & Trading",Lending
2 - 7 years,Any Graduate,"Dhule, Nanded, Jalna, Latur, Solapur, Ahmednagar",,2.5-4 Lacs P.A.,"BFSI, Investments & Trading",Lending
8 - 13 years,Any Graduate,"Pune, Bengaluru",,8-16 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
0 - 5 years,Any Graduate,"Thane, Navi Mumbai, Mumbai (All Areas)( Chembur, Sindhi Society Chembur, Bandra Kurla Complex, Ghodbunder Road, Kalwa, Ghatkopar West, Mulund, Airoli, Sector-19 Koper Khairane, Sector 26 Vashi, Sector 22 Vashi, Sector-10 Sanpada, Balkum, Sector 18 Kharghar, Sector-3 Belapur, Sector-5 Belapur, Govandi, Mankhurd, Sector 5 Ghansoli, Ulhasnagar, Ambernath )",,3-3.25 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
